date,state,county,fips,cases,deaths,population,daily_cases,daily_deaths
2020-04-24,Georgia,Cobb,13067,1368,72,745057,42,6
2020-04-24,Georgia,DeKalb,13089,1721,36,743187,32,2
2020-04-24,Georgia,Fulton,13121,2500,91,1021902,64,3
2020-04-24,Georgia,Gwinnett,13135,1382,46,902298,31,0
2020-04-24,Georgia,Hall,13139,1022,9,195961,59,0
2020-04-25,Georgia,Cobb,13067,1395,74,745057,27,2
2020-04-25,Georgia,DeKalb,13089,1788,36,743187,67,0
2020-04-25,Georgia,Fulton,13121,2543,91,1021902,43,0
2020-04-25,Georgia,Gwinnett,13135,1460,46,902298,78,0
2020-04-25,Georgia,Hall,13139,1032,9,195961,10,0
2020-04-26,Georgia,Cobb,13067,1428,75,745057,33,1
2020-04-26,Georgia,DeKalb,13089,1800,36,743187,12,0
2020-04-26,Georgia,Fulton,13121,2545,94,1021902,2,3
2020-04-26,Georgia,Gwinnett,13135,1504,47,902298,44,1
2020-04-26,Georgia,Hall,13139,1033,11,195961,1,2
2020-04-27,Georgia,Cobb,13067,1483,81,745057,55,6
2020-04-27,Georgia,DeKalb,13089,1855,42,743187,55,6
2020-04-27,Georgia,Fulton,13121,2680,103,1021902,135,9
2020-04-27,Georgia,Gwinnett,13135,1545,52,902298,41,5
2020-04-27,Georgia,Hall,13139,1098,12,195961,65,1
2020-04-28,Georgia,Cobb,13067,1539,81,745057,56,0
2020-04-28,Georgia,DeKalb,13089,1907,44,743187,52,2
2020-04-28,Georgia,Fulton,13121,2753,108,1021902,73,5
2020-04-28,Georgia,Gwinnett,13135,1620,54,902298,75,2
2020-04-28,Georgia,Hall,13139,1185,16,195961,87,4
2020-04-29,Georgia,Cobb,13067,1581,88,745057,42,7
2020-04-29,Georgia,DeKalb,13089,1980,46,743187,73,2
2020-04-29,Georgia,Fulton,13121,2785,116,1021902,32,8
2020-04-29,Georgia,Gwinnett,13135,1744,55,902298,124,1
2020-04-29,Georgia,Hall,13139,1261,20,195961,76,4
2020-04-30,Georgia,Cobb,13067,1621,94,745057,40,6
2020-04-30,Georgia,DeKalb,13089,2027,47,743187,47,1
2020-04-30,Georgia,Fulton,13121,2821,118,1021902,36,2
2020-04-30,Georgia,Gwinnett,13135,1793,57,902298,49,2
2020-04-30,Georgia,Hall,13139,1346,21,195961,85,1
2020-05-01,Georgia,Cobb,13067,1679,96,745057,58,2
2020-05-01,Georgia,DeKalb,13089,2073,49,743187,46,2
2020-05-01,Georgia,Fulton,13121,2880,122,1021902,59,4
2020-05-01,Georgia,Gwinnett,13135,1848,58,902298,55,1
2020-05-01,Georgia,Hall,13139,1482,22,195961,136,1
2020-05-02,Georgia,Cobb,13067,1749,96,745057,70,0
2020-05-02,Georgia,DeKalb,13089,2148,52,743187,75,3
2020-05-02,Georgia,Fulton,13121,2928,122,1021902,48,0
2020-05-02,Georgia,Gwinnett,13135,1934,58,902298,86,0
2020-05-02,Georgia,Hall,13139,1694,22,195961,212,0
2020-05-03,Georgia,Cobb,13067,1768,97,745057,19,1
2020-05-03,Georgia,DeKalb,13089,2184,53,743187,36,1
2020-05-03,Georgia,Fulton,13121,2981,124,1021902,53,2
2020-05-03,Georgia,Gwinnett,13135,1980,58,902298,46,0
2020-05-03,Georgia,Hall,13139,1700,23,195961,6,1
2020-05-04,Georgia,Cobb,13067,1839,101,745057,71,4
2020-05-04,Georgia,DeKalb,13089,2255,57,743187,71,4
2020-05-04,Georgia,Fulton,13121,3057,129,1021902,76,5
2020-05-04,Georgia,Gwinnett,13135,2057,65,902298,77,7
2020-05-04,Georgia,Hall,13139,1776,23,195961,76,0
2020-05-05,Georgia,Cobb,13067,1887,102,745057,48,1
2020-05-05,Georgia,DeKalb,13089,2284,59,743187,29,2
2020-05-05,Georgia,Fulton,13121,3165,130,1021902,108,1
2020-05-05,Georgia,Gwinnett,13135,2102,77,902298,45,12
2020-05-05,Georgia,Hall,13139,1846,26,195961,70,3
2020-05-06,Georgia,Cobb,13067,1998,107,745057,111,5
2020-05-06,Georgia,DeKalb,13089,2357,61,743187,73,2
2020-05-06,Georgia,Fulton,13121,3250,135,1021902,85,5
2020-05-06,Georgia,Gwinnett,13135,2222,81,902298,120,4
2020-05-06,Georgia,Hall,13139,1914,27,195961,68,1
2020-05-07,Georgia,Cobb,13067,2024,108,745057,26,1
2020-05-07,Georgia,DeKalb,13089,2396,62,743187,39,1
2020-05-07,Georgia,Fulton,13121,3260,137,1021902,10,2
2020-05-07,Georgia,Gwinnett,13135,2254,84,902298,32,3
2020-05-07,Georgia,Hall,13139,1956,27,195961,42,0
2020-05-08,Georgia,Cobb,13067,2072,114,745057,48,6
2020-05-08,Georgia,DeKalb,13089,2445,69,743187,49,7
2020-05-08,Georgia,Fulton,13121,3317,144,1021902,57,7
2020-05-08,Georgia,Gwinnett,13135,2322,87,902298,68,3
2020-05-08,Georgia,Hall,13139,1997,28,195961,41,1
2020-05-09,Georgia,Cobb,13067,2128,116,745057,56,2
2020-05-09,Georgia,DeKalb,13089,2489,69,743187,44,0
2020-05-09,Georgia,Fulton,13121,3385,144,1021902,68,0
2020-05-09,Georgia,Gwinnett,13135,2403,87,902298,81,0
2020-05-09,Georgia,Hall,13139,2002,28,195961,5,0
2020-05-10,Georgia,Cobb,13067,2175,117,745057,47,1
2020-05-10,Georgia,DeKalb,13089,2536,69,743187,47,0
2020-05-10,Georgia,Fulton,13121,3509,144,1021902,124,0
2020-05-10,Georgia,Gwinnett,13135,2447,87,902298,44,0
2020-05-10,Georgia,Hall,13139,2012,28,195961,10,0
2020-05-11,Georgia,Cobb,13067,2186,118,745057,11,1
2020-05-11,Georgia,DeKalb,13089,2555,71,743187,19,2
2020-05-11,Georgia,Fulton,13121,3516,145,1021902,7,1
2020-05-11,Georgia,Gwinnett,13135,2475,92,902298,28,5
2020-05-11,Georgia,Hall,13139,2039,29,195961,27,1
